.NET Developers Guide to Augmented Reality in iOS,Springer / Apress,9781484263815,,Mastering Microsoft Development
.NET MAUI Cross-Platform Application Development,Packt,9781800569225,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
.NET MAUI for C# Developers,Packt,9781837631520,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
"(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide, 2nd Edition",Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
#FashionVictim: A Novel,Crooked Lane Books,9781683318347,,Humble Book Bundle: Murder by the Book from Crooked Lane
"1,000 Incredible Costume and Cosplay Ideas",The Quarto Group,,,Humble Book Bundle: Return of the Cosplay
10 Crochet Flowers,Open Road Media,978-1446306635,,Humble Book Bundle: Amigurumi and Crochet
100 Go Mistakes and How to Avoid Them,Manning Publications,9781617299599,,Code Like a Pro 2024 by Manning
100 Little Knitted Gifts to Make,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
100 Ways To Boost Self-confidence,Career Press,978-1601632616,,Choose Your Own Career Path
100 Ways to Motivate Yourself,Career Press,978-1632650634,,Choose Your Own Career Path
100 Ways To Overcome Shyness,Career Press,978-1601632111,,Choose Your Own Career Path
100+ No-Sew Fabric Crafts For Kids,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
1001 Ways To Engage Employees,Career Press,9781632650054,,Humble Book Bundle: Career Building by Career Press
101 Magic Tricks: Any Time. Any Place,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
101 Organic Gardening Hacks: Eco-friendly Solutions to Improve Any Garden,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
111 Easy Edgings,Leisure Arts,9781574862669,,Humble Craft Bundle: Cozy Afghans and More
12 Bones Smokehouse,The Quarto Group,9781592336456,,Humble Book Bundle: Cookbooks by Quarto
12-Minute Athlete,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
15 Math Concepts Every Data Scientist Should Know,Packt Publishing,9781837634187,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
15-Minute HIIT for Women,Callisto Publishing,9781647391034,,Humble Book Bundle: Health & Wellness
"200 Crochet Flowers, Embellishments & Trims",Open Road Media,978-1446301326,,Humble Book Bundle: Amigurumi and Crochet
200+ Ways to Protect Your Privacy,Simon & Schuster / Adams Media,9781507212004,,Life Hacks by Adams Media
21 Days to Learn to Crochet,Leisure Arts,9781574864458,,Humble Craft Bundle: Cozy Afghans and More
25 Essentials: Techniques for Gas Grilling,The Quarto Group,9781558327344,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
25 Essentials: Techniques for Grilling Fish,The Quarto Group,9781558327320,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
25 Essentials: Techniques for Planking,The Quarto Group,9781558327351,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
25 Essentials: Techniques for Smoking,The Quarto Group,9781558327337,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
25 Essentials: Techniques for Wood-Fired Ovens,The Quarto Group,9781558328495,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
30-Minute Italian Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
30-Minute Meals For Dummies,Wiley,9780764525896,,Humble Book Bundle: DIY Home & Hobby by Wiley
30-Minute Weight Loss Cookbook,Callisto Publishing,9781641521994,,Humble Book Bundle: Health & Wellness
365 Ways to Boost Your Metabolism,Simon & Schuster / Adams Media,9781605500584,,Life Hacks by Adams Media
365 Ways to Get a Good Night's Sleep,Simon & Schuster / Adams Media,9781605500171,,Life Hacks by Adams Media
365 Ways to Live Cheap,Simon & Schuster / Adams Media,9781598697926,,Life Hacks by Adams Media
365 Ways to Live Green,Simon & Schuster / Adams Media,9781416982852,,Life Hacks by Adams Media
365 Ways To Live Green For Kids,Simon & Schuster,N/A,,Stuff That Kids Love by Adams Media
365 Ways to Live the Law of Attraction,Simon & Schuster / Adams Media,9781440505706,,Life Hacks by Adams Media
365 Ways to Reduce Stress,Simon & Schuster / Adams Media,9781605500164,,Life Hacks by Adams Media
3D Animal Granny Squares,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
3D Character Development Workshop,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
3D Origami Fun!,Simon & Schuster,N/A,,Stuff That Kids Love by Adams Media
3D Printing,MIT Press,9780262536684,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
3D Scientific Visualization with Blender,Morgan & Claypool Publishers,9781681744322,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
40 Algorithms Every Programmer Should Know,Packt,9781789801217,,Humble Book Bundle: All-in-One Python by Packt
40 Favorite Ripple Afghans,Leisure Arts,9781609003586,,Humble Craft Bundle: Cozy Afghans and More
48-Hour Afghans,Leisure Arts,9781574863505,,Humble Craft Bundle: Cozy Afghans and More
5 Ingredient Semi-Homemade Meals: 50+ Easy Recipes with Expert Shopping Tips,Mango Media,9781642506099,,"Humble Book Bundle: Eat, Drink & Be Merry"
5-Minute Stress Relief,Callisto Publishing,9781641529174,,Humble Book Bundle: Health & Wellness
52 Small Changes for the Mind,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
"52 Weeks, 52 Sweets: Elegant Recipes for All Occasions",Mango Media,9781642504446,,"Humble Book Bundle: Eat, Drink & Be Merry"
5G Mobile Networks: A Systems Approach,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
7 Secrets Of Persuasion,Career Press,978-1601633460,,Choose Your Own Career Path
79 Short Essays on Design,Princeton Architectural Press,9781568986999,,Graphic Design 101
97 Things Every Java Programmer Should Know,O'Reilly Media,9781491952696,,Humble Book Bundle: Programming Languages by O'Reilly
97 Things Every Programmer Should Know,O'Reilly Media,9780596809485,,Humble Book Bundle: Gifts for the Technically Inclined
99 Granny Squares to Crochet,Leisure Arts,9781574862539,,Humble Craft Bundle: Cozy Afghans and More
A Bloody Business,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition",Pragmatic Programmers,9781680507225,,Databases and Data Management by Pragmatic
A Concise Introduction to Multiagent Systems and Distributed Artificial Intelligence,Morgan & Claypool Publishers,978-1-59829-526-9,,AI & Machine Learning Toolkit
A Cookie to Celebrate: Recipes and Decorating Tips for Everyday Baking and Holidays,Mango Media,9781633535671,,"Humble Book Bundle: Eat, Drink & Be Merry"
"A Designer's Research Manual, 2nd edition, Updated and Expanded",The Quarto Group,9781631592621,,Humble Book Bundle: The Graphic Designer's Toolkit by Quarto
A Developer's Guide to .NET in Azure,Packt,9781837633012,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
A Grandfather's Lessons,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
A Lateral View: Essays on Culture and Style in Contemporary Japan,Stone Bridge Press,978-0962813740,,Japanese Culture & Language
A Lifetime of Puzzles,Taylor & Francis Group / A K Peters,9781568812458,,Humble Book Bundle: Math & Puzzles Train Your Brain
A Play of Bodies,MIT Press,9780262037631,,Inside Gaming by MIT Press
A Practical Approach for Machine Learning and Deep Learning Algorithms,BPB Publications,9789389845587,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
A Practical Guide to Complex PTSD,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
A Robot’s Guide To: Bondo,"SoloRoboto Industries, LLC",,,Humble Book Bundle: Return of the Cosplay
A Robot's Guide To: Sanding,"SoloRoboto Industries, LLC",,,Humble Book Bundle: Return of the Cosplay
A Seeker's Guide to the Yoga Sutras,Callisto Publishing,9781641529594,,Humble Book Bundle: Health & Wellness
A Shameful Life: (Ningen Shikkaku),Stone Bridge Press,978-1611720440,,Japanese Culture & Language
A Stir of Echoes,Open Road Media,9781480457317,,Humble Book Bundle: Dread & Darkness
À Table: Recipes for Cooking and Eating the French Way,Chronicle Books,978-1452182438,,The Calculating Chef
A Thyme and Place: Medieval Feasts and Recipes for the Modern Table,Skyhorse Publishing,978-1634502849,,Eat Like a Geek
A Tight Squeeze: Smutty Trans and Queer Stories (Queering Consent),Microcosm,9781648411007,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
A Tour of the Subatomic Zoo: A Guide to Particle Physics,Morgan & Claypool Publishers,9781681740553,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
About Face: The Essentials of Interaction Design (4th Edition),Wiley,978-1118766576,,Real UX/UI Design for Real People by Wiley
Absolute FreeBSD,No Starch Press,978-1-59327-890-8,,Humble Tech Book Bundle: Linux by No Starch Press
Absolute OpenBSD,No Starch Press,978-1-59327-476-4,,Humble Tech Book Bundle: Linux by No Starch Press
Accelerate Deep Learning Workloads with Amazon SageMaker,Packt,,,Machine Learning and AI 2023
Acceptance and Commitment Therapy for Anxiety Relief,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
Accounting 101,Simon & Schuster (Adams Media),9781507202920,,Humble Book Bundle: Knowledge 101!
Achievement Relocked,MIT Press,9780262034043,,Inside Gaming by MIT Press
Active Learning,Morgan & Claypool Publishers,978-1-60845-280-4,,AI & Machine Learning Toolkit
ADHD & Us,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
Adopting Elixir,Pragmatic Bookshelf,9781680502527,,Humble Tech Book Bundle: Elixir Programming
Advanced Algorithms and Data Structures,Manning Publications,9781617295485,,Code Like a Pro 2024 by Manning
Advanced ASP.NET Core 3 Security,Springer / Apress,9781484259726,,Mastering Microsoft Development
Advanced Cosplay Painting: Airbrush and Weathering,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Advanced Natural Language Processing with TensorFlow 2,Packt,Available inside eBook,,The A - Z of Machine Learning
Advanced Python Programming,Packt,9781801814010,,Python Master 2024
Advanced Roblox Coding Book: An Unofficial Guide,Simon & Schuster,N/A,,Stuff That Kids Love by Adams Media
Adventures in Raspberry Pi,Wiley,978-1-119-04602-8,,Humble Tech Book Bundle: Get More Pi!
Adversarial Machine Learning,Morgan & Claypool Publishers,978-1-68173-375-3,,AI & Machine Learning Toolkit
Adversarial Tradecraft in Cybersecurity,Packt,9781801076203,,Cybersecurity & Cyber Warfare
Afghan Parade,Leisure Arts,9781574866469,,Humble Craft Bundle: Cozy Afghans and More
Afghans by the Alphabet,Leisure Arts,9781574863338,,Humble Craft Bundle: Cozy Afghans and More
After the War: Women in Physics in the United States,Morgan & Claypool Publishers,9780750328029,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Age Beautifully Cookbook,Skyhorse Publishing,978-1634507974,,Eat Like a Geek
AI & Machine Learning for Coders,O'Reilly,9781492078197,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
AI and ML Powering the Agents of Automation,BPB Publications,9789388511636,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
AI Basics,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
"AI, Machine Learning, Deep Learning","Walter De Gruyter, Inc. / Mercury",9781683924630,,Data Science & Data Analytics
Air Frying with Instant Pot,Insight Editions,N/A,,The Chef's Kitchen
Algebra Essentials,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Algorithmic Short Selling with Python,Packt,Available inside eBook,,The A - Z of Machine Learning
Algorithmic Thinking: A Problem-Based Introduction,No Starch Press,978-1718500808,,Machine Learning Bookshelf
Algorithms and Data Structures for Massive Datasets,Manning Publications,Unavailable,,Math for Programmers 2023
Algorithms for Reinforcement Learning,Morgan & Claypool Publishers,978-1-60845-492-1,,AI & Machine Learning Toolkit
"Algorithms in a Nutshell, 2nd Edition",O'Reilly,9781492026136,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
"Algorithms of the Intelligent Web, 2E",Manning Publications,Unavailable,,Math for Programmers 2023
All About the Burger: A History of America’s Favorite Sandwich,Mango Media,9781633539433,,"Humble Book Bundle: Eat, Drink & Be Merry"
All That Remains,Skyhorse Publishing,9781510760813,,True Crime Essentials
All That's Bright and Gone: A Novel,Crooked Lane Books,9781643856476,,Humble Book Bundle: Murder by the Book from Crooked Lane
Alzheimer's Disease,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Amazon DynamoDB - The Definitive Guide,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
American Barbecue Sauces,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
American Government 101,Simon & Schuster (Adams Media),9781440598456,,Humble Book Bundle: Knowledge 101!
American Lit 101,Simon & Schuster (Adams Media),9781440599682,,Humble Book Bundle: Knowledge 101!
American Sfoglino,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
amigurumi Christmas,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
amigurumi for Beginners,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Amigurumi Style Crochet,Open Road Media,978-1526747280,,Humble Book Bundle: Amigurumi and Crochet
Amy's Guide to Best Behavior in Japan: Do It Right and Be Polite!,Stone Bridge Press,978-1611720457,,Japanese Culture & Language
An In-Depth Guide to Mobile Device Forensics,Taylor & Francis Group,9780367633004,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
An Introduction to C & GUI Programming,Raspberry Pi Press,N/A (Official Guide),,Humble Book Bundle: Raspberry Pi Uncut
An Introduction to Electronic Warfare; from the First Jamming to Machine Learning Techniques,River Publishers,9788770227926,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
An Introduction to Multivariable Mathematics,Morgan & Claypool Publishers,978-1681732589,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
An Introduction to Numerical Methods for the Physical Sciences,Morgan & Claypool Publishers,978-1627052740,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
An Introduction to Partial Differential Equations,Morgan & Claypool Publishers,978-1627056298,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
An Introduction to Proofs with Set Theory,Morgan & Claypool Publishers,978-1681738819,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Analog,MIT Press,9780262547597,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Analog Photography,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
"Analytical Performance Modeling for Computer Systems, Third Edition",Morgan & Claypool Publishers,978-1681734682,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Analytical Techniques for Solving Nonlinear Partial Differential Equations,Morgan & Claypool Publishers,978-1681731421,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Analytics Stories: Using Data to Make Good Things Happen,Wiley,9781119702207,,Data Visualization by Wiley
Analyzing Health Data in R for SAS Users,Taylor & Francis,9781138742550,,Data Science Essentials
Anatomy 101,Simon & Schuster (Adams Media),9781440584268,,Humble Book Bundle: Knowledge 101!
Android 9 Development Cookbook,Packt,9781789614435,,iOS & Android Mobile Development by Packt
Android Design Patterns: Interaction Design Solutions for Developers,Wiley,978-1118394151,,Real UX/UI Design for Real People by Wiley
"Android Programming for Beginners, 2nd Edition",Packt,9781788995320,,iOS & Android Mobile Development by Packt
Android Programming with Kotlin for Beginners,Packt,9781789615401,,iOS & Android Mobile Development by Packt
Android UI Development with Jetpack Compose,Packt Publishing,9781837634255,,"iOS, Android, and Flutter: Mobile Development"
Angular and Machine Learning Pocket Primer,"Walter De Gruyter, Inc. / Mercury",9781683924784,,Data Science & Data Analytics
Angular in Action,Manning Publications,9781617293313,,Web & iPhone Mobile Apps
Angular: Up and Running,O'Reilly,9781491999837,,Develop and Design for Web Apps
Animal Ears and Tails Pattern Set,Kinpatsu Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Animal Skulls Pattern Collection,Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
"Anime Explosion!: The What? Why? and Wow! of Japanese Animation, Revised and Updated Edition",Stone Bridge Press,978-1611720150,,Japanese Culture & Language
Anne Perry and the Murder of the Century,Skyhorse Publishing,9781628737523,,True Crime Essentials
Anti-Aging Hacks,Simon & Schuster / Adams Media,9781507209790,,Life Hacks by Adams Media
Antivirus Bypass Techniques,Packt,9781801079747,,Cybersecurity & Cyber Warfare
Anyone Can Create an App,Manning Publications,9781617292651,,Web & iPhone Mobile Apps
"Anything You Can Do, I Can",Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Apothecary Cocktails,The Quarto Group,9781592335848,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Applications of Machine Learning in Big-Data Analytics and Cloud Computing,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Applied Computational Thinking with Python - Second Edition,Packt,9781837632305,,Humble Tech Book Bundle: Programming Mega Bundle
Applied Computational Thinking with Python 2nd Edition,Packt,9781801073103,,Humble Book Bundle: The Ultimate Python Bookshelf by Packt
"Applied Cryptography: Protocols, Algorithms and Source Code in C, 20th Anniversary Edition",Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
Applied Deep Learning and Computer Vision for Self-Driving Cars,Packt,Available inside eBook,,The A - Z of Machine Learning
Applied Geospatial Data Science with Python,Packt,,,Machine Learning and AI 2023
Applied Linear Algebra and Optimization Using MATLAB,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Applied Machine Learning and High-Performance Computing on AWS,Packt,,,Machine Learning and AI 2023
Applied Machine Learning for Healthcare and Life Sciences Using AWS,Packt,,,Machine Learning and AI 2023
Applied Machine Solutions with Python,BPB Publications,9789391030377,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Applying Color Theory to Digital Media and Visualization,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
Applying Math with Python,Packt,9781789613230,,Humble Book Bundle: The Ultimate Python Bookshelf by Packt
Apprenticeship Patterns,O'Reilly,9780596518387,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
Architecting Modern Java EE Applications,Packt,9781788294966,,Humble Book Bundle: Java by Packt
Architecture 101,Simon & Schuster (Adams Media),9781440590078,,Humble Book Bundle: Knowledge 101!
Arduino Cookbook (3rd Edition),O'Reilly Media,9781491903520,,Humble Book Bundle: Gifts for the Technically Inclined
Arduino For Dummies,Wiley,978-1-118-84698-8,,Humble Tech Book Bundle: Get More Pi!
Arduino in Action,Manning Publications,9781617290244,,Web & iPhone Mobile Apps
Arduino Projects For Dummies,Wiley,978-1-118-55147-9,,Humble Tech Book Bundle: Get More Pi!
Arduino Sketches: Tools and Techniques for Programming Wizardry,Wiley,978-1-118-91960-6,,Humble Tech Book Bundle: Get More Pi!
Arm Armor Pattern Collection,Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
Around the World in 17 Recipes,International Markets Consulting,,,Learn a New Language and Travel the World Bundle
Art Of Jin Shin,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Art of Mindful Reading: Embracing the Wisdom of Words,The Quarto Group,9781782405627,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Art of R Programming: A Tour of Statistical Software Design,No Starch Press,978-1593273842,,Machine Learning Bookshelf
Art of the Slow Cooker,Chronicle Books,978-0811860956,,The Calculating Chef
Artificial Intelligence - Reshaping Life and Business,BPB Publications,9789389423198,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence • Machine Learning • Deep Learning,Mercury Learning and Information,9781683924630,,Programming Fundamentals 2023 by Mercury
Artificial Intelligence and Deep Learning for Decision Makers,BPB Publications,9789388511476,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence and Expert Systems,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
Artificial Intelligence and Problem Solving,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Artificial Intelligence Ethics and International Law,BPB Publications,9789389423617,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence for All,BPB Publications,9789389423372,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence for Digitising Industry,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Artificial Intelligence for Managers,BPB Publications,9789389845181,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence in Wireless Robotics,River Publishers,9788770221382,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Artificial Intelligence Meets Augmented Reality,BPB Publications,9789389845167,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Artificial Intelligence with Power BI,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Artificial Intelligence with Python,Packt,9781838825416,,Humble Book Bundle: The Ultimate Python Bookshelf by Packt
Artificial Intelligence with Python - Second Edition,Packt,,,Machine Learning and AI 2023
Artistic Places,The Quarto Group,9781781319420,,The Armchair Traveler
Asian Pickles at Home,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
Ask Outrageously!: The Secret to Getting What You Really Want,Berrett-Koehler,9781523082711,,Humble Book Bundle: Debug Your Life
ASP.NET Core 5 and React,Packt,9781800566316,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
ASP.NET Web Forms Development,Springer / Apress,9781484257135,,Mastering Microsoft Development
Aspergers and Adulthood,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
Astrology 101,Simon & Schuster (Adams Media),9781440594731,,Humble Book Bundle: Knowledge 101!
Astronomy 101,Simon & Schuster (Adams Media),9781440563591,,Humble Book Bundle: Knowledge 101!
Atari Age: The Emergence of Video Games in America,MIT Press,9780262536110,,Inside Gaming by MIT Press
Atari to Zelda,Penguin Random House US,9780262545761,,Inside Gaming by MIT Press
Atlas of Forgotten Places,The Quarto Group,9780711263307,,The Armchair Traveler
Atlas of Improbable Places,The Quarto Group,9780711264014,,The Armchair Traveler
Atlas of the Unexpected,The Quarto Group,9780711244306,,The Armchair Traveler
Atlas of Untamed Places,The Quarto Group,9781781316627,,The Armchair Traveler
Atlas of Vanishing Places,The Quarto Group,9781781318959,,The Armchair Traveler
Atmospheric Monitoring with Arduino,O'Reilly / Make Community,9781449338145,,DIY Maker School by Make Co.
